PUESTO;SALARIO;JORNADA;AÑOS DE SERVICIO;MES COMPLETO;CARGO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;2156945.00;1.000;40; ;TÉCNICO EN GUÍA DE HORARIOS Y CURSOS                                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;0; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;2054192.00;1.000;35; ;TÉCNICO EN MANTENIMIENTO DE REDES DE TELECOMUNICACIONES                                                                                                                                                                                                         
PROFESIONAL C;3314127.00;1.000;33; ;PROFESIONAL COORDINADOR DE PROGRAMA DE VOLUNTARIADO UNIVERSITARIO                                                                                                                                                                                               
PROFESOR CATEDRATICO                   ;4173191.00;1.000;26; ;PUESTO NO ADMINISTRATIVO
DIRECTOR CENTRO REGIONAL;5558905.00;1.000;30; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;4344397.00;1.000;30; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;5613291.00;1.000;36; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;3786167.00;1.000;23; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1278864.00;1.000;10; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1688278.00;1.000;17; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1210209.00;1.000;8; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO B;1439137.00;1.000;40; ;MENSAJERO                                                                                                                                                                                                                                                       
PROFESOR ASOCIADO                      ;3436244.25;1.000;26; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL D;3670221.00;1.000;30; ;PROFESIONAL COORDINADOR DE AUDITORÍAS COMPLEJAS                                                                                                                                                                                                                 
PROFESIONAL A;2656861.00;1.000;33; ;PROFESIONAL EN CANJE DE RECURSOS BIBLIOGRÁFICOS                                                                                                                                                                                                                 
PROFESIONAL C;3314127.00;1.000;33; ;JEFATURA ADMINISTRATIVA C DE ESCUELA                                                                                                                                                                                                                            
PROFESOR CATEDRATICO                   ;5760201.00;1.000;40; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;227228.40;0.125;16; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;141534.65;0.125;8; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;3226382.00;1.000;24; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;0; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;2972273.00;1.000;36; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;2082216.00;1.000;35; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESOR ASOCIADO                      ;3508154.00;1.000;29; ;PUESTO NO ADMINISTRATIVO
